26.03.2021 13:45:34

TIME STEP: 64 = 1s
VOLTAGE RANGE:
CH1= 15V
CH2= 15V
CH3= 15V
CH4= 30V
CH5= 30V
CH6= 30V
CH7= 30V
CH8= 30V

   N     CH1     CH2     CH3     CH4     CH5     CH6     CH7     CH8

 289     8,4    13,4    14,9    12,1     6,5     1,5     0,0     2,8
 290     8,6    13,5    14,9    12,0     6,4     1,4     0,0     2,9
 291     8,7    13,6    14,9    11,9     6,2     1,3     0,1     3,2
 292     8,9    13,7    14,9    11,8     6,1     1,3     0,1     3,3
 293     9,0    13,8    14,8    11,6     5,9     1,2     0,1     3,4
 294     9,2    13,8    14,8    11,5     5,8     1,1     0,1     3,5
 295     9,3    13,9    14,8    11,3     5,6     1,1     0,2     3,6
 296     9,5    14,0    14,8    11,2     5,5     0,9     0,2     3,8
 297     9,6    14,1    14,7    11,1     5,4     0,8     0,2     3,9
 298     9,8    14,1    14,6    10,9     5,2     0,8     0,4     4,0
 299     9,9    14,2    14,6    10,8     5,1     0,7     0,4     4,1
 300    10,0    14,3    14,6    10,7     4,9     0,7     0,4     4,2
 301    10,2    14,4    14,5    10,6     4,8     0,6     0,5     4,4
 302    10,3    14,4    14,5    10,5     4,7     0,6     0,5     4,6
 303    10,4    14,5    14,4    10,2     4,6     0,5     0,6     4,7
 304    10,6    14,5    14,4    10,1     4,4     0,5     0,6     4,8
 305    10,7    14,6    14,3    10,0     4,2     0,4     0,7     4,9
 306    10,8    14,6    14,2     9,9     4,1     0,4     0,7     5,1
 307    10,9    14,6    14,1     9,8     4,0     0,4     0,8     5,2
 308    11,1    14,7    14,1     9,6     3,9     0,2     0,9     5,4
 309    11,2    14,8    14,0     9,4     3,8     0,2     0,9     5,5
 310    11,4    14,8    13,9     9,3     3,6     0,2     1,1     5,6
 311    11,5    14,8    13,8     9,2     3,5     0,1     1,1     5,8
 312    11,6    14,8    13,8     9,1     3,4     0,1     1,2     6,0
 313    11,7    14,9    13,7     8,8     3,3     0,1     1,3     6,1
 314    11,8    14,9    13,6     8,7     3,1     0,1     1,4     6,2
 315    11,9    14,9    13,5     8,6     2,9     0,0     1,4     6,4
 316    12,1    14,9    13,4     8,5     2,8     0,0     1,5     6,5
 317    12,2    14,9    13,4     8,2     2,7     0,0     1,6     6,7
 318    12,3    14,9    13,2     8,1     2,7     0,0     1,8     6,8
 319    12,4    15,0    13,2     8,0     2,6     0,0     1,8     6,9
 320    12,5    15,0    13,1     7,9     2,5     0,0     1,9     7,1
